Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.1: Foreign Affairs and Trade Operations,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Other Administered Items,1819,679,694,710,727,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.1: Foreign Affairs and Trade Operations,Administered expenses,Other services (Appropriation Bill No. 2),Debt-to-Health Swap with Government of Indonesia,13452,15027,0,0,0,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.1: Foreign Affairs and Trade Operations,Administered expenses,Expenses not requiring appropriation in the Budget year,Export Finance and Insurance Corporation (EFIC) - National Interest Account Expenses,1500,1300,1300,1200,1100,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.1: Foreign Affairs and Trade Operations,Administered expenses,Expenses not requiring appropriation in the Budget year,Other Administered Items,13452,15027,0,0,0,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.1: Foreign Affairs and Trade Operations,Departmental expenses,Departmental appropriation,,578925,602049,536669,537859,540939,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.1: Foreign Affairs and Trade Operations,Departmental expenses,s 74 Retained revenue receipts,,81599,81599,81599,81599,81599,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.1: Foreign Affairs and Trade Operations,Departmental expenses,Expenses not requiring appropriation in the Budget year,,123990,125983,115962,109509,103282,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.2: Official Development Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Country programs,1682783,1603879,1643976,1685075,1727202,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.2: Official Development Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Regional programs,641695,621706,667395,670395,702015,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.2: Official Development Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Global programs,549615,355276,505322,599003,599003,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.2: Official Development Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Humanitarian and emergency response programs,238121,338939,368939,408939,415988,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.2: Official Development Assistance,Administered expenses,Expenses not requiring appropriation in the Budget year ,,1207,1189,1489,1440,1028,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.2: Official Development Assistance,Departmental expenses,Departmental appropriation,,240823,242856,248927,255151,258978,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.2
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.3: Official Development Assistance - Multilateral Replenishments,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,0,719958,12622,105000,715930,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.3: Official Development Assistance - Multilateral Replenishments,Administered expenses,Other services (Appropriation Bill No. 2),,0,996910,0,0,600090,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.3: Official Development Assistance - Multilateral Replenishments,Administered expenses,Expenses not requiring appropriation in the Budget year,,0,520090,0,0,520090,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.4: Official Development Assistance - East Asia AIPRD,Administered expenses,AIPRD Loans Special Account 2015,,0,0,0,0,0,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.4: Official Development Assistance - East Asia AIPRD,Administered expenses,Expenses not requiring appropriation in the Budget year,,7188,0,0,0,0,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.5: Payments to International Organisations,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,432649,467287,490653,524180,546701,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.6: New Colombo Plan - Transforming Regional Relationships,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,27742,27790,50933,50933,50933,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.6: New Colombo Plan - Transforming Regional Relationships,Administered expenses,Other services (Appropriation Bill No. 2),,75,425,150,0,0,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.7: Public Information Services and Public Diplomacy,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,5044,4594,4594,4594,4594,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.8: Programs to Promote Australia's International Tourism Interests,Administered expenses,Tourism Australia - Corporate Commonwealth Entity,,144018,140266,141291,144417,147462,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 1: The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities",Program 1.8: Programs to Promote Australia's International Tourism Interests,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,14000,14000,14000,14000,14000,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.1.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,Outcome 2: The protection and welfare of Australians abroad and access to secure international travel documentation through timely and responsive travel advice and consular and passport services in Australia and overseas,Program 2.1: Consular Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,200,200,200,200,200,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.2.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,Outcome 2: The protection and welfare of Australians abroad and access to secure international travel documentation through timely and responsive travel advice and consular and passport services in Australia and overseas,Program 2.1: Consular Services,Departmental expenses,Departmental appropriation,,103983,104539,103709,103839,102281,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.2.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,Outcome 2: The protection and welfare of Australians abroad and access to secure international travel documentation through timely and responsive travel advice and consular and passport services in Australia and overseas,Program 2.2: Passport Services,Administered expenses,Special appropriations,PGPA Act s77 - Passport Refunds,1010,1010,1010,1010,1010,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.2.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,Outcome 2: The protection and welfare of Australians abroad and access to secure international travel documentation through timely and responsive travel advice and consular and passport services in Australia and overseas,Program 2.2: Passport Services,Departmental expenses,Departmental appropriation,,231410,250692,246236,248388,258796,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.2.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 3: A secure Australian Government presence overseas through the provision of security services and information and communication technology infrastructure, and the management of the Commonwealth's overseas property estate",Program 3.1: Foreign Affairs and Trade Security and IT,Departmental expenses,Departmental appropriation,,194815,203007,151822,152005,150991,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.3.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 3: A secure Australian Government presence overseas through the provision of security services and information and communication technology infrastructure, and the management of the Commonwealth's overseas property estate",Program 3.2: Overseas Property,Departmental expenses,Special Accounts,Overseas Property Special Account - DFAT - s20 FMA Act Det 2002/01,163586,160879,133715,165185,172389,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.3.1
Foreign Affairs and Trade Portfolio,Department of Foreign Affairs and Trade,"Outcome 3: A secure Australian Government presence overseas through the provision of security services and information and communication technology infrastructure, and the management of the Commonwealth's overseas property estate",Program 3.2: Overseas Property,Departmental expenses,Expenses not requiring appropriation in the Budget year,,19295,15432,22414,25476,28298,Department of Foreign Affairs and Trade 2016-17 PBS,Table 2.3.1
Health Portfolio,Australian Commission on Safety and Quality in Health Care,Outcome 1,Program 1.1: Safety and quality in health care,[not published],Amounts from the Portfolio Department,,21599,13826,11326,11578,11803,Australian Commission on Safety and Quality in Health Care 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Commission on Safety and Quality in Health Care,Outcome 1,Program 1.1: Safety and quality in health care,[not published],Amounts from other Government entities,,9243,7406,7628,7857,8093,Australian Commission on Safety and Quality in Health Care 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Commission on Safety and Quality in Health Care,Outcome 1,Program 1.1: Safety and quality in health care,[not published],Revenues from independent sources,,250,200,200,200,200,Australian Commission on Safety and Quality in Health Care 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Commission on Safety and Quality in Health Care,Outcome 1,Program 1.1: Safety and quality in health care,[not published],Operating deficit (surplus),,-146,0,0,0,0,Australian Commission on Safety and Quality in Health Care 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Digital Health Agency,Outcome 1,Program 1.1: Digital Health,[not published],Ordinary annual services,,0,110303,114124,4159,0,Australian Digital Health Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Digital Health Agency,Outcome 1,Program 1.1: Digital Health,[not published],Amounts from related entities,,0,0,0,0,0,Australian Digital Health Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Digital Health Agency,Outcome 1,Program 1.1: Digital Health,[not published],Revenues from independent sources,,0,35600,35600,0,0,Australian Digital Health Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Digital Health Agency,Outcome 1,Program 1.1: Digital Health,[not published],Expenses not requiring appropriation in the budget year,,0,41183,0,0,0,Australian Digital Health Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Digital Health Agency,Outcome 1,Program 1.1: Digital Health,[not published],Operating deficit (surplus),,0,-18730,0,0,0,Australian Digital Health Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Institute of Health and Welfare,Outcome 1,"Program 1.1: Develop, collect, analyse and report high quality national health and  welfare information and statistics for governments and the community",[not published],Ordinary annual services,,15625,26918,27233,27236,27302,Australian Institute of Health and Welfare 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Institute of Health and Welfare,Outcome 1,"Program 1.1: Develop, collect, analyse and report high quality national health and  welfare information and statistics for governments and the community",[not published],Amounts from the related  entities,,22900,22900,22200,22200,22200,Australian Institute of Health and Welfare 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Institute of Health and Welfare,Outcome 1,"Program 1.1: Develop, collect, analyse and report high quality national health and  welfare information and statistics for governments and the community",[not published],Revenues from independent sources,,8730,8730,8430,8430,8430,Australian Institute of Health and Welfare 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Institute of Health and Welfare,Outcome 1,"Program 1.1: Develop, collect, analyse and report high quality national health and  welfare information and statistics for governments and the community",[not published],Operating deficit (surplus),,522,445,366,0,0,Australian Institute of Health and Welfare 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Radiation Protection and Nuclear Safety Agency,Outcome 1,Program 1.1: Radiation protection and nuclear safety,Departmental expenses,Ordinary annual services,,13056,13049,13067,13135,13215,Australian Radiation Protection and Nuclear Safety Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Radiation Protection and Nuclear Safety Agency,Outcome 1,Program 1.1: Radiation protection and nuclear safety,Departmental expenses,Special Accounts,,10046,10046,10046,10046,10046,Australian Radiation Protection and Nuclear Safety Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Radiation Protection and Nuclear Safety Agency,Outcome 1,Program 1.1: Radiation protection and nuclear safety,Departmental expenses,Expenses not requiring appropriation in the Budget year,,2171,2171,2171,2171,2171,Australian Radiation Protection and Nuclear Safety Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Radiation Protection and Nuclear Safety Agency,Outcome 1,Program 1.1: Radiation protection and nuclear safety,Departmental expenses,Operating loss (surplus),,643,0,0,0,0,Australian Radiation Protection and Nuclear Safety Agency 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Sports Anti-Doping Authority,Outcome 1,"Program 1.1: Engagement, Deterrence, Detection and Enforcement",Departmental expenses,Departmental appropriation,,15099,13642,14617,13666,13788,Australian Sports Anti-Doping Authority 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Sports Anti-Doping Authority,Outcome 1,"Program 1.1: Engagement, Deterrence, Detection and Enforcement",Departmental expenses,Expenses not requiring appropriation in the budget year,,548,477,472,374,274,Australian Sports Anti-Doping Authority 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Sports Anti-Doping Authority,Outcome 1,"Program 1.1: Engagement, Deterrence, Detection and Enforcement",Departmental expenses,Operating deficit (surplus),,-1250,0,0,0,0,Australian Sports Anti-Doping Authority 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Sports Commission,Outcome 1,Program 1.1: Australian Sports Commission,[not published],Ordinary annual services,,253646,250669,213001,214564,216137,Australian Sports Commission 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Sports Commission,Outcome 1,Program 1.1: Australian Sports Commission,[not published],Revenues from independent sources,,24320,22901,22843,22939,23063,Australian Sports Commission 2016-17 PBS,Table 2.1.2
Health Portfolio,Australian Sports Commission,Outcome 1,Program 1.1: Australian Sports Commission,[not published],Operating deficit (surplus),,14941,6048,6048,0,0,Australian Sports Commission 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.1: Health Policy Research and Analysis,Administered expenses,Ordinary annual services,,45980,42189,39255,39195,37611,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.1: Health Policy Research and Analysis,Administered expenses,Special Accounts,Medical Research Future  Fund,0,60876,121565,214913,386373,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.1: Health Policy Research and Analysis,Administered expenses,Special appropriations,"National Health Act 1953 - blood  fractionation, products and blood related products to National Blood Authority",645262,711578,760645,811434,864451,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.1: Health Policy Research and Analysis,Departmental expenses,Special appropriations,"Public Governance, Performance and Accountability Act 2013 s77 - repayments",2000,2000,2000,2000,2000,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.1: Health Policy Research and Analysis,Departmental expenses,Departmental appropriation,,10919,10311,10306,10367,10372,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.1: Health Policy Research and Analysis,Departmental expenses,Expenses not requiring appropriation  in the budget year,,287,246,248,264,223,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.2: Health Innovation and Technology,Administered expenses,Ordinary annual services,,129182,11642,634,635,4880,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.2: Health Innovation and Technology,Administered expenses,Non cash expenses,,21662,0,0,0,0,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.2: Health Innovation and Technology,Departmental expenses,Departmental appropriation,,17488,4128,3033,3047,3049,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.2: Health Innovation and Technology,Departmental expenses,Expenses not requiring appropriation  in the budget year,,289,59,59,63,54,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.3: Health Infrastructure,Administered expenses,Ordinary annual services,,11380,5797,8712,911,911,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.3: Health Infrastructure,Administered expenses,Special appropriations,Health Insurance Act 1973  - payments relating to the  former Health and Hospitals  Fund,33197,51770,17005,16048,0,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.3: Health Infrastructure,Administered expenses,Special Accounts,Health and Hospitals Fund  Health Portfolio,54984,0,0,0,0,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.3: Health Infrastructure,Departmental expenses,Departmental appropriation,,5261,4861,4858,4885,4888,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.3: Health Infrastructure,Departmental expenses,Expenses not requiring appropriation in the budget year,,133,112,113,120,102,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.4: Health Peak and Advisory Bodies,Administered expenses,Ordinary annual services,,7008,7983,7573,7479,7350,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.4: Health Peak and Advisory Bodies,Departmental expenses,Departmental appropriation,,5517,5058,5056,5086,5089,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.4: Health Peak and Advisory Bodies,Departmental expenses,Expenses not requiring appropriation in the budget year,,145,121,122,130,110,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.5: International Policy,Administered expenses,Ordinary annual services,,14412,14340,13691,13691,13691,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.5: International Policy,Departmental expenses,Departmental appropriation,,6021,5453,5450,5481,5484,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 1,Program 1.5: International Policy,Departmental expenses,Expenses not requiring appropriation in the budget year,,151,126,127,135,114,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.1: Mental Health,Administered expenses,Ordinary annual services,,663578,679453,697108,709898,528823,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.1: Mental Health,Departmental expenses,Departmental appropriation,,21407,19429,19342,19121,19130,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.1: Mental Health,Departmental expenses,Expenses not requiring appropriation in the budget year,,779,748,754,803,679,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.2: Aboriginal and Torres Strait Islander Health,Administered expenses,Ordinary annual services,,729135,780207,849147,884028,921580,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.2: Aboriginal and Torres Strait Islander Health,Departmental expenses,Departmental appropriation,,44581,40925,40934,41228,41308,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.2: Aboriginal and Torres Strait Islander Health,Departmental expenses,Expenses not requiring appropriation in the budget year,,1153,964,971,1035,876,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.3: Health Workforce,Administered expenses,Ordinary annual services,,1288282,1291530,1305728,1274986,1266940,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.3: Health Workforce,Departmental expenses,Departmental appropriation,,45328,41915,41076,41327,41352,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.3: Health Workforce,Departmental expenses,Expenses not requiring appropriation in the budget year,,1191,1008,1016,1082,916,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.4: Preventative Health and Chronic Disease,Administered expenses,Ordinary annual services,,278015,378306,345089,357647,358541,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.4: Preventative Health and Chronic Disease,Departmental expenses,Departmental appropriation,,41470,38089,37568,37789,37809,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.4: Preventative Health and Chronic Disease,Departmental expenses,Expenses not requiring appropriation in the budget year,,1076,903,910,970,820,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.5: Primary Health Care Quality and Coordination,Administered expenses,Ordinary annual services,,432603,405876,357794,374989,317649,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.5: Primary Health Care Quality and Coordination,Departmental expenses,Departmental appropriation,,25427,23514,23420,23584,23596,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.5: Primary Health Care Quality and Coordination,Departmental expenses,Expenses not requiring appropriation in the budget year,,648,548,552,588,498,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.6: Primary Care Practice Incentives,Administered expenses,Ordinary annual services,,357971,372977,353802,368200,368628,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.6: Primary Care Practice Incentives,Departmental expenses,Departmental appropriation,,2250,1966,1965,1976,1977,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.6: Primary Care Practice Incentives,Departmental expenses,Expenses not requiring appropriation in the budget year,,58,47,47,50,43,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.7: Hospital Services,Administered expenses,Ordinary annual services,,92639,92534,77286,77722,77936,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.7: Hospital Services,Administered expenses,Non cash expenses,,963,963,963,963,963,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.7: Hospital Services,Departmental expenses,Departmental appropriation,,29615,40928,41816,40915,38951,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 2,Program 2.7: Hospital Services,Departmental expenses,Expenses not requiring appropriation in the budget year,,4028,4164,4196,4471,3782,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 3,Program 3.1: Sport and Recreation,Administered expenses,Ordinary annual services,,21948,15975,17061,12749,12778,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 3,Program 3.1: Sport and Recreation,Administered expenses,Special Accounts,Sport and Recreation ,378,407,407,407,407,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 3,Program 3.1: Sport and Recreation,Departmental expenses,Departmental appropriation,,9906,9135,9152,9121,10193,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 3,Program 3.1: Sport and Recreation,Departmental expenses,Expenses not requiring appropriation  in the budget year,,275,243,245,261,221,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.1: Medical Benefits,Administered expenses,Ordinary annual services,,97714,93206,77265,77381,77381,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.1: Medical Benefits,Administered expenses,Special appropriations,Health Insurance Act 1973  - medical benefits,21080530,21850644,22572887,23579689,25025956,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.1: Medical Benefits,Departmental expenses,Departmental appropriation,,29990,25312,22893,22990,23002,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.1: Medical Benefits,Departmental expenses,Expenses not requiring appropriation in the budget year,,761,563,567,604,511,Department of Health 2016-17 PBS,Table 2.1.2
